,PageName,VisualName,Measure,ColumnName,DimensionName,VisualTitle,ReportName,LoadTime,isMeasureUsedInVisual,hasDimension,Query
17,Dataset Logs,tableEx,CurrentDuration,ID,CountNonNull(datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[CountNonNull(datasetrefreshhistory].[ID].children} ON 1 FROM [Model]"
18,Dataset Logs,tableEx,CurrentDuration,RefreshType,datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[datasetrefreshhistory].[RefreshType].children} ON 1 FROM [Model]"
19,Dataset Logs,tableEx,CurrentDuration,MappedDatasetName,Dataset Refresh History,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]"
20,Summary Detailed Logs,pivotTable,Last Refresh Time Ingestion,StreamName,Stream Name Dimension Ingestion,,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[Stream Name Dimension Ingestion].[StreamName].children} ON 1 FROM [Model]"
21,Summary Detailed Logs,pivotTable,Last Refresh Time Ingestion,Stage Name,meta PipelineExecutionLogs,,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[meta PipelineExecutionLogs].[Stage Name].children} ON 1 FROM [Model]"
22,Summary Detailed Logs,tableEx,EndTime(MAX),MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]"
23,Summary Detailed Logs,tableEx,CurrentDuration,MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]"
24,Summary Detailed Logs,tableEx,StartTime(MAX),MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]"
25,Summary Detailed Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
26,Summary Detailed Logs,pivotTable,DateShow,StageName,pipelineexecutionlogs,,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[pipelineexecutionlogs].[StageName].children} ON 1 FROM [Model]"
27,Summary Detailed Logs,pivotTable,DateShow,Mappedcolumns,Dim2,,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[Dim2].[Mappedcolumns].children} ON 1 FROM [Model]"
28,Pipeline Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
