Measure,DimensionName,ColumnName,LoadTime,isMeasureUsedInVisual,ReportName,PageName,VisualName,VisualTitle,Query,hasDimension
CurrentStatusLatest Ingestion,Pipeline Execution Logs,StreamOrder,0.858441591263,0,-,-,-,-,"SELECT {[Measures].[CurrentStatusLatest Ingestion]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
CombineStatus,PipelineBackupLogs(Ingestion),StreamName,0.424189567566,0,-,-,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
CombineDate,PipelineBackupLogs(Ingestion),StreamName,0.267923116684,0,-,-,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
StartTime(MAX),PipelineBackupLogs(Ingestion),StreamName,0.404110193253,0,-,-,-,-,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
EndTime(MAX),PipelineBackupLogs(Ingestion),StreamName,0.270083665848,0,-,-,-,-,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
CurrentDuration,PipelineBackupLogs(Ingestion),StreamName,0.292385578156,0,-,-,-,-,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
ColorCode_DatasetRefreshHistory,PipelineBackupLogs(Ingestion),StreamName,0.266451120377,0,-,-,-,-,"SELECT {[Measures].[ColorCode_DatasetRefreshHistory]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
CurrentStatus,PipelineBackupLogs(Ingestion),StreamName,0.438922643661,0,-,-,-,-,"SELECT {[Measures].[CurrentStatus]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
MetaCombineDate,PipelineBackupLogs(Ingestion),StreamName,0.442571878433,0,-,-,-,-,"SELECT {[Measures].[MetaCombineDate]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
MetaCombineStatus,PipelineBackupLogs(Ingestion),StreamName,0.606836795807,0,-,-,-,-,"SELECT {[Measures].[MetaCombineStatus]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
CurrentStatus Ingestion,PipelineBackupLogs(Ingestion),StreamName,0.500319957733,0,-,-,-,-,"SELECT {[Measures].[CurrentStatus Ingestion]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
CurrentStatusLatest Ingestion,PipelineBackupLogs(Ingestion),StreamName,0.401468753815,0,-,-,-,-,"SELECT {[Measures].[CurrentStatusLatest Ingestion]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
CombineStatus,PipelineExecutionLogs(ingestion),Order,0.427055120468,0,-,-,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
CombineDate,PipelineExecutionLogs(ingestion),Order,0.273292541504,0,-,-,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
StartTime(MAX),PipelineExecutionLogs(ingestion),Order,0.428434610367,0,-,-,-,-,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
EndTime(MAX),PipelineExecutionLogs(ingestion),Order,0.282290458679,0,-,-,-,-,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
CurrentDuration,PipelineExecutionLogs(ingestion),Order,0.286575555801,0,-,-,-,-,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
ColorCode_DatasetRefreshHistory,PipelineExecutionLogs(ingestion),Order,0.299514532089,0,-,-,-,-,"SELECT {[Measures].[ColorCode_DatasetRefreshHistory]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
CurrentStatus,PipelineExecutionLogs(ingestion),Order,0.426175594330,0,-,-,-,-,"SELECT {[Measures].[CurrentStatus]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
MetaCombineDate,PipelineExecutionLogs(ingestion),Order,0.381942987442,0,-,-,-,-,"SELECT {[Measures].[MetaCombineDate]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
MetaCombineStatus,PipelineExecutionLogs(ingestion),Order,0.536003589630,0,-,-,-,-,"SELECT {[Measures].[MetaCombineStatus]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
CurrentStatus Ingestion,PipelineExecutionLogs(ingestion),Order,0.713752031326,0,-,-,-,-,"SELECT {[Measures].[CurrentStatus Ingestion]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
MetaCombineDate,Stream Name Dimension Ingestion,,0.392105340958,0,-,-,-,-,,1
